001.m4a	今天天气真的不错，阳光洒在脸上暖洋洋的，我们下午一起去公园走走，顺便呼吸一下新鲜空气吧。
002.m4a	你好，请问这里可以扫码支付吗？我手机网络有点慢，麻烦稍等我打开付款码。
003.m4a	我刚把会议资料和总结发到工作群里了，麻烦你有空的时候查收一下，有问题随时告诉我。
004.m4a	这杯咖啡温度刚刚好，香气也很浓郁，坐下来慢慢喝一口，感觉整个人都放松了不少。
005.m4a	这个周末我打算在家好好休息，顺便把房间整理一下，再把下周要用的东西提前准备好。
006.m4a	如果赶时间的话，我们可以改走旁边那条路，那边车少，走过去大概能节省十来分钟。
007.m4a	本次列车将于今晚十八点三十分准时发车，请各位旅客提前到站候车，并保管好随身物品。
008.m4a	优惠活动从三月一号正式开始，一直持续到三月十五号结束，有需要的市民可以尽早前往办理。
009.m4a	请您在前方路口先左转，然后沿着主路直行大约两百米，看到蓝色招牌就到了。
010.m4a	如果在使用过程中遇到任何问题，可以随时联系我，我看到消息后会尽快给您回复和处理。
011.m4a	这本书我已经读完了，里面有几个观点挺有意思的，改天我可以跟你详细聊聊读后感。
012.m4a	晚上七点我们在一楼大厅准时集合，请大家提前几分钟到场，尽量不要迟到以免影响安排。
013.m4a	刚才那段讲解我大概听明白了，核心内容我已经记下，回去之后我会再整理一份详细笔记。
014.m4a	麻烦帮我把音量稍微调小一点，周围有点吵，我想安静听清楚接下来的说明内容。
015.m4a	祝你今天一切顺利，工作顺心生活愉快，我们改天有空再坐下来慢慢聊。
